STAGE_NAME,STAGE,CODE,CAL_ERROR_1,CAL_ERROR_0,ERROR
Read Clock Alignment,1,1,byte,nibble,Read clock stuck low
Read Clock Alignment,1,2,byte,nibble,Read clock stuck high
Read Clock Alignment,1,3,byte,nibble,Positive edge transition not detected on read clock
Read Clock Alignment,1,4,byte,nibble,Read clock left edge detect fail with fine delay
Read Clock Alignment,1,5,byte,nibble,Read clock right edge detect fail with fine delay
Read DQ Deskew,2,1,byte,nibble,QK PQTR/ NQTR tap value max limit
Read DQ Deskew,2,2,nibble,bit,DQ IDELAY tap value max limit
Read DQ Training (Simple),3,1,nibble,bit,DQ IDELAY tap value max limit
Read DQ Training (Simple),3,2,nibble,na,Left edge detect fail. PQTR tap value max limit
Read DQ Training (Simple),3,3,nibble,na,Left edge detect fail. NQTR tap value max limit
Read DQ Training (Simple),3,4,nibble,na,NQTR minimum window size not met
Read DQ Training (Simple),3,5,nibble,na,PQTR minimum window size not met
Read DQ Training (Simple),3,6,nibble,na,Right edge NQTR tap value smaller than left edge tap value
Read DQ Training (Simple),3,7,nibble,na,Right edge PQTR tap value smaller than left edge tap value
Read QVLD Training,4,1,qvld_cnt,na,QVLD IDELAY tap value max limit
Write Training,5,1,dk_cnt,na,DK ODELAY tap value max limit
Write Training,5,2,byte,bit,DQ ODELAY tap value max limit
Write Training,5,3,dm_cnt,na,DM ODELAY tap value max limit
Write Read Sanity Check,6,1,byte,na,Data mismatch
Byte Slip Training,7,1,byte,na,Mismatch on first data beat
Byte Slip Training,7,2,byte,na,Data mismatch
QVLD Slip Training,8,1,qvld_cnt,na,QVLD mismatch
Write Read Sanity Check,9,1,byte,na,Data mismatch
QVLD Align Training,10,1,qvld_cnt,na,QVLD expect pattern match error
Byte Align Training,11,1,byte,na,Mismatch on first data beat
Byte Align Training,11,2,na,na,More than one fabric cycle delay between bytes
Byte Align Training,11,3,byte,na,Data mismatch
Byte Align Training,11,4,na,na,More than one fabric cycle delay between QVLD and data byte lanes
Write Read Sanity Check,12,1,byte,na,Data mismatch
Read DQ Training (Complex),13,1,nibble,na,PQTR minimum window size not met
Read DQ Training (Complex),13,2,nibble,na,NQTR minimum window size not met
Read DQ Training (Complex),13,3,nibble,na,Right edge PQTR tap value smaller than left edge tap value
Read DQ Training (Complex),13,4,nibble,na,Right edge NQTR tap value smaller than left edge tap value
Read DQ Training (Complex),13,5,nibble,na,Right edge read timeout
Read DQ Training (Complex),13,6,nibble,na,Left edge read timeout
Write Read Sanity Check,14,1,byte,na,Reads not detected
Write Read Sanity Check,14,2,byte,na,Data mismatch
