PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
a_loopback,0,NOLOOPBACK,DRP.A_LOOPBACK=3'd0,,,
a_loopback,1,PCSNEAREND,DRP.A_LOOPBACK=3'd1,,,
a_loopback,2,PMANEAREND,DRP.A_LOOPBACK=3'd2,,,
a_loopback,3,PMAFAREND,DRP.A_LOOPBACK=3'd4,,,
a_loopback,4,PCSFAREND,DRP.A_LOOPBACK=3'd6,,,
a_rxoutclksel,0,DISABLED,DRP.A_RXOUTCLKSEL=3'd0,,,
a_rxoutclksel,1,RXOUTCLKPCS,DRP.A_RXOUTCLKSEL=3'd1,,,
a_rxoutclksel,2,RXOUTCLKPMA,DRP.A_RXOUTCLKSEL=3'd2,,,
a_rxoutclksel,3,RXPLLREFCLK_DIV1,DRP.A_RXOUTCLKSEL=3'd3,,,
a_rxoutclksel,4,RXPLLREFCLK_DIV2,DRP.A_RXOUTCLKSEL=3'd4,,,
a_rxoutclksel,5,RXPROGDIVCLK,DRP.A_RXOUTCLKSEL=3'd5,,,
a_rxpd,0,P0,DRP.A_RXPD=2'd0,,,
a_rxpd,1,P0S,DRP.A_RXPD=2'd1,,,
a_rxpd,2,P1,DRP.A_RXPD=2'd2,,,
a_rxpd,3,P2,DRP.A_RXPD=2'd3,,,
a_rxpllclksel,0,CPLLCLK,DRP.A_RXPLLCLKSEL=2'd0,,,
a_rxpllclksel,1,QPLLCLK1,DRP.A_RXPLLCLKSEL=2'd2,,,
a_rxpllclksel,2,QPLLCLK0,DRP.A_RXPLLCLKSEL=2'd3,,,
a_rxprbssel,0,PRBS7,DRP.A_RXPRBSSEL=4'd1,,,
a_rxprbssel,1,PRBS9,DRP.A_RXPRBSSEL=4'd2,,,
a_rxprbssel,2,PRBS15,DRP.A_RXPRBSSEL=4'd3,,,
a_rxprbssel,3,PRBS23,DRP.A_RXPRBSSEL=4'd4,,,
a_rxprbssel,4,PRBS31,DRP.A_RXPRBSSEL=4'd5,,,
a_rxsysclksel,0,CPLLREFCLK,DRP.A_RXSYSCLKSEL=2'd0,,,
a_rxsysclksel,1,QPLLREFCLK0,DRP.A_RXSYSCLKSEL=2'd2,,,
a_rxsysclksel,2,QPLLREFCLK1,DRP.A_RXSYSCLKSEL=2'd3,,,
a_txoutclksel,0,DISABLED,DRP.A_TXOUTCLKSEL=3'd0,,,
a_txoutclksel,1,TXOUTCLKPCS,DRP.A_TXOUTCLKSEL=3'd1,,,
a_txoutclksel,2,TXOUTCLKPMA,DRP.A_TXOUTCLKSEL=3'd2,,,
a_txoutclksel,3,TXPLLREFCLK_DIV1,DRP.A_TXOUTCLKSEL=3'd3,,,
