STAGE_NAME,STAGE,CODE,CAL_ERROR_1,CAL_ERROR_0,ERROR
DQS_Gate_Cal,1,0,byte,nibble,a.Expected pattern was not found on GT_STATUS.
DQS_Gate_Cal,1,1,byte,nibble,"b. Pattern not found on GT_STATUS, all 0?s were sampled"
DQS_Gate_Cal,1,2,byte,nibble,"c. Pattern not found on GT_STATUS, all 1?s were sampled"
DQS_Gate_Cal,1,3,byte,nibble,d. Could not find the 0->1 transition with fine taps in at least 1 tck (estimated) of fine taps.
Read_deskew_stage,2,0,nibble,na,a. No valid data found in the nibble when running the de-skew pattern.
Read_deskew_stage,2,1,nibble,bit,b. Not able to find the left edge of the rise window
Read_deskew_stage,2,2,nibble,bit,c. Not able to find the right edge of the fall window
Read_deskew_stage,2,3,nibble,na,d. No valid data window found
Read_deskew_stage,2,4,na,na,e. Sanity check failed
Address_calibration,3,0,bit,na,a. Unable to find the expected data pattern
Address_calibration,3,1,bit,na,b. No valid window found on the given address bit
Address_calibration,3,2,na,na,c. Sanity check failed
Write_data_centering,4,0,bit,na,a. Data de-skew error. Unable to find the valid data.
Write_data_centering,4,1,bit,na,b. Data de-skew error. Unable to find a valid data window.
Write_data_centering,4,2,na,na,c. Sanity check failed
Write_data_bit_slip,5,0,bit,na,a. Unable to find the expected data pattern
Write_data_bit_slip,5,1,na,na,b. Sanity check failed
Read_data_bit_slip,6,0,nibble,bit,a. Bit slip value is more two
Read_data_bit_slip,6,1,nibble,bit,b. Unable to find the expected pattern
Read_data_bit_slip,6,2,na,na,c. Sanity check failed
Byte_writes_centering,7,0,byte,na,a. Unable to find the valid data
Byte_writes_centering,7,1,byte,na,b. Data de-skew error. Unable to find a valid window.
Byte_writes_centering,7,2,na,na,c. Sanity check failed
Byte_writes_bit_slip,8,0,byte,na,a. Unable to find the expected data pattern
Byte_writes_bit_slip,8,1,na,na,b. Sanity check failed
Complex_read_deskew,9,0,nibble,na,a. No valid data found in the nibble when running the de-skew pattern. [nibble wise]
Complex_read_deskew,9,1,nibble,bit,b. No valid data found for the given bit when running the de-skew pattern. [nibble wise]
Complex_read_deskew,9,2,na,na,c. Sanity check failed
Complex_read_centering,10,0,nibble,na,a. No valid rise data found in the nibble. [nibble wise]
Complex_read_centering,10,1,nibble,na,b. No valid rise data window found [nibble wise]
Complex_read_centering,10,2,nibble,na,c. No valid fall data found in the nibble. [nibble wise]
Complex_read_centering,10,3,nibble,na,d. No valid fall data window found [nibble wise]
Complex_read_centering,10,4,na,na,e. Sanity check failed
Read_valid_calibration,11,0,na,na,a. Unable to find the expected data pattern
Read_valid_calibration,11,1,na,na,b. Sanity check failed
